fish_id,test_name,bin,bin_s,l_saccs,r_saccs,l_saccs_s,r_saccs_s,l_abs,r_abs,l_abs_s,r_abs_s,l_abs_norm,r_abs_norm,l_abs_s_norm,r_abs_s_norm,l_agr,r_agr,l_agr_s,r_agr_s
3,gd,0,0,0,0,0,0,48.57049751,48.66680908,48.57049751,48.66680908,0.836061164,0.73778868,0.435892899,0.439581989,0.003968254,0.003968254,0.003968254,0.003968254
3,gd,10,10,3,2,5,4,37.04418564,25.47528076,65.49930096,58.5868988,0.637654678,0.38620518,0.58781939,0.529185003,0.612903226,0.596774194,0.608,0.612
3,gd,20,10,2,2,5,4,28.45511532,33.11161804,65.49930096,58.5868988,0.489807971,0.50197203,0.58781939,0.529185003,0.603174603,0.626984127,0.608,0.612
3,gd,30,30,4,4,7,7,54.04832745,42.69493103,96.17996502,92.33023071,0.930352989,0.647255026,0.863161095,0.833970979,0.717741935,0.661290323,0.710843373,0.714859438
3,gd,40,30,3,3,7,7,42.13163757,49.63529968,96.17996502,92.33023071,0.725226789,0.752470994,0.863161095,0.833970979,0.704,0.768,0.710843373,0.714859438
3,gd,50,50,5,4,8,10,58.09443092,40.82862854,108.0421019,97.39700317,1,0.618961886,0.969617102,0.879736501,0.728,0.68,0.706827309,0.686746988
3,gd,60,50,3,6,8,10,49.94767094,56.56837463,108.0421019,97.39700317,0.859766937,0.85757639,0.969617102,0.879736501,0.685483871,0.693548387,0.706827309,0.686746988
3,gd,70,70,5,5,11,10,57.28831768,47.9770813,111.4275951,110.7115631,0.986124087,0.727332409,1,1,0.6,0.616,0.632,0.668
3,gd,80,70,6,5,11,10,54.13927746,62.73448181,111.4275951,110.7115631,0.931918544,0.951054556,1,1,0.664,0.72,0.632,0.668
3,gd,90,90,5,5,9,10,52.56084728,37.83509827,109.5272865,103.798172,0.904748466,0.573579976,0.982945799,0.937554932,0.656,0.616,0.678714859,0.662650602
3,gd,100,90,4,5,9,10,56.96643925,65.96307373,109.5272865,103.798172,0.98058348,1,0.982945799,0.937554932,0.701612903,0.709677419,0.678714859,0.662650602
3,td,0,0,2,1,2,1,60.47819042,45.65361023,60.47819042,45.65361023,1,0.768632884,0.555780885,0.44253863,0.007936508,0.007936508,0.007936508,0.007936508
3,td,10,10,0,0,1,1,23.01235771,21.34628296,50.60783195,38.72984314,0.380506717,0.359390089,0.465074524,0.375423798,0.496,0.464,0.485943775,0.514056225
3,td,20,10,1,1,1,1,27.59547424,17.38356018,50.60783195,38.72984314,0.456288028,0.292672933,0.465074524,0.375423798,0.475806452,0.564516129,0.485943775,0.514056225
3,td,30,30,3,3,5,6,38.92081833,32.02232361,75.97716427,74.24443054,0.643551304,0.539133944,0.698212948,0.719680841,0.603174603,0.619047619,0.576,0.648
3,td,40,30,2,3,5,6,37.05634594,42.22210693,75.97716427,74.24443054,0.612722465,0.710859441,0.698212948,0.719680841,0.548387097,0.677419355,0.576,0.648
3,td,50,50,5,4,8,9,56.07978725,37.50320435,102.4190235,92.98075867,0.927272904,0.631411097,0.941207651,0.901299533,0.704,0.624,0.712,0.672
3,td,60,50,3,5,8,9,46.33923626,55.47755432,102.4190235,92.98075867,0.766214001,0.934030679,0.941207651,0.901299533,0.72,0.72,0.712,0.672
3,td,70,70,4,4,8,9,58.24133492,43.76713562,101.3119736,103.1629944,0.963013849,0.736871838,0.931034113,1,0.696,0.704,0.676,0.716
3,td,80,70,4,5,8,9,43.07063866,59.39585876,101.3119736,103.1629944,0.712168111,1,0.931034113,1,0.656,0.728,0.676,0.716
3,td,90,90,5,5,8,8,56.28471661,39.1739502,108.8166075,91.00946045,0.930661387,0.659540093,1,0.882190954,0.704,0.696,0.7,0.704
3,td,100,90,3,3,8,8,52.53189087,51.83551025,108.8166075,91.00946045,0.868608841,0.872712531,1,0.882190954,0.696,0.712,0.7,0.704
4,sd,0,0,0,0,0,0,39.02082825,49.69760132,39.02082825,49.69760132,0.620552273,0.330365371,0.334271562,0.216926039,0.003968254,0.011904762,0.003968254,0.011904762
4,sd,10,10,2,2,3,3,34.74171638,37.98948669,63.91277504,71.75201416,0.552501114,0.252535545,0.547508193,0.31319178,0.536,0.64,0.536,0.636
4,sd,20,10,1,1,3,3,29.17105865,33.76252747,63.91277504,71.75201416,0.463910367,0.224436786,0.547508193,0.31319178,0.536,0.632,0.536,0.636
4,sd,30,30,4,3,8,7,52.2321434,103.4656372,96.67156029,174.2518158,0.830653186,0.687789002,0.828136022,0.760595184,0.64,0.832,0.676,0.764
4,sd,40,30,4,4,8,7,44.43941689,70.78617859,96.67156029,174.2518158,0.706724649,0.470551928,0.828136022,0.760595184,0.712,0.696,0.676,0.764
4,sd,50,50,5,5,9,8,62.88080788,150.4322357,116.7339153,229.0992889,1,1,1,1,0.712,0.864,0.702811245,0.815261044
4,sd,60,50,4,3,9,8,53.85310745,78.66705322,116.7339153,229.0992889,0.856431545,0.522940132,1,1,0.693548387,0.766129032,0.702811245,0.815261044
4,sd,70,70,3,3,6,5,54.79211044,124.5604858,105.6711082,194.3135071,0.871364607,0.828017248,0.905230566,0.848162855,0.64,0.784,0.637450199,0.764940239
4,sd,80,70,3,2,6,5,50.8789978,69.75302124,105.6711082,194.3135071,0.809133971,0.463684003,0.905230566,0.848162855,0.634920635,0.746031746,0.637450199,0.764940239
4,sd,90,90,3,3,7,6,58.42353058,126.5395203,112.7570496,202.6245422,0.929115458,0.841172902,0.965932216,0.884439857,0.685483871,0.758064516,0.702811245,0.730923695
4,sd,100,90,4,3,7,6,54.33351898,76.08502197,112.7570496,202.6245422,0.864071579,0.50577605,0.965932216,0.884439857,0.72,0.704,0.702811245,0.730923695
4,wd,0,0,0,1,0,1,55.70540428,49.79260254,55.70540428,49.79260254,0.697986492,0.296343331,0.374802151,0.169648179,0.003984064,0.003984064,0.003984064,0.003984064
4,wd,10,10,4,4,11,10,69.08621979,162.7517395,148.6261597,293.5050812,0.865647577,0.968625662,1,1,0.728,0.816,0.741035857,0.812749004
4,wd,20,10,7,6,11,10,79.53993988,130.7533417,148.6261597,293.5050812,0.996632272,0.77818549,1,1,0.753968254,0.80952381,0.741035857,0.812749004
4,wd,30,30,4,4,8,8,71.79021263,161.6122742,136.981369,258.0438232,0.899528499,0.961844073,0.921650464,0.879180088,0.717741935,0.782258065,0.718875502,0.787148594
4,wd,40,30,4,4,8,8,65.19115639,96.43154907,136.981369,258.0438232,0.816842588,0.57391751,0.921650464,0.879180088,0.72,0.792,0.718875502,0.787148594
4,wd,50,50,4,5,9,9,74.76958084,168.0233612,135.5364647,268.8983917,0.936859864,1,0.911928728,0.916162646,0.768,0.824,0.72,0.796
4,wd,60,50,5,4,9,9,60.76688385,100.8750305,135.5364647,268.8983917,0.761406629,0.600363127,0.911928728,0.916162646,0.672,0.768,0.72,0.796
4,wd,70,70,6,4,11,8,79.80871391,163.4572449,134.9963036,246.2844238,1,0.972824515,0.908294367,0.839114685,0.688,0.84,0.66,0.764
4,wd,80,70,5,4,11,8,55.18758965,82.82717896,134.9963036,246.2844238,0.691498296,0.492950375,0.908294367,0.839114685,0.632,0.688,0.66,0.764
4,wd,90,90,4,4,7,6,75.15355873,145.3905945,127.8588676,220.9994659,0.941671091,0.865299881,0.860271623,0.752966405,0.712,0.808,0.678714859,0.771084337
4,wd,100,90,3,2,7,6,52.70530891,75.60887146,127.8588676,220.9994659,0.660395417,0.449990233,0.860271623,0.752966405,0.64516129,0.733870968,0.678714859,0.771084337
4,gd,0,0,0,1,0,1,45.99372864,50.90641785,45.99372864,50.90641785,0.639514178,0.257476394,0.364204237,0.166722812,0.003968254,0.01984127,0.003968254,0.01984127
4,gd,10,10,2,2,4,4,31.06069374,46.20465088,72.42617989,104.080658,0.43187962,0.23369562,0.573511267,0.340872934,0.648,0.672,0.666666667,0.678714859
4,gd,20,10,2,2,4,4,41.36548615,57.87600708,72.42617989,104.080658,0.575161346,0.292727444,0.573511267,0.340872934,0.685483871,0.685483871,0.666666667,0.678714859
4,gd,30,30,4,3,7,6,62.53091049,138.772995,109.6756458,230.9190521,0.869453402,0.701891271,0.86847351,0.756279373,0.72,0.816,0.7,0.804
4,gd,40,30,3,3,7,6,47.14473534,92.14605713,109.6756458,230.9190521,0.65551821,0.466059792,0.86847351,0.756279373,0.68,0.792,0.7,0.804
4,gd,50,50,4,4,8,8,66.64465523,165.5503845,122.5361156,266.006897,0.926652463,0.837326959,0.97030995,0.871195024,0.738095238,0.80952381,0.72,0.804
4,gd,60,50,4,4,8,8,55.89146042,100.4565125,122.5361156,266.006897,0.77713598,0.508092725,0.97030995,0.871195024,0.701612903,0.798387097,0.72,0.804
4,gd,70,70,4,5,8,9,68.63879681,190.8244781,125.0753746,301.4797821,0.954379761,0.96515922,0.990417232,0.987371715,0.744,0.88,0.744,0.848
4,gd,80,70,4,4,8,9,56.4365778,110.655304,125.0753746,301.4797821,0.784715498,0.559676556,0.990417232,0.987371715,0.744,0.816,0.744,0.848
4,gd,90,90,5,4,8,8,71.91979504,197.7129517,126.2855396,305.3356476,1,1,1,1,0.744,0.872,0.728,0.848
4,gd,100,90,3,4,8,8,54.36574459,107.6226959,126.2855396,305.3356476,0.755921851,0.544338118,1,1,0.712,0.824,0.728,0.848
4,td,0,0,0,0,0,0,49.40961361,50.61526489,49.40961361,50.61526489,0.669108138,0.257759103,0.402922348,0.164075966,0.004166667,0.008333333,0.004166667,0.008333333
4,td,10,10,0,0,0,0,22.26722527,19.85244751,49.51838303,43.48362732,0.301544184,0.101098929,0.403809333,0.140957835,0.472,0.512,0.508,0.496
4,td,20,10,0,0,0,0,27.25115776,23.63117981,49.51838303,43.48362732,0.369036916,0.120342188,0.403809333,0.140957835,0.544,0.48,0.508,0.496
4,td,30,30,1,2,1,5,37.42852402,61.13514709,76.31995392,133.3491927,0.506859459,0.311331783,0.622369064,0.432268756,0.588709677,0.733870968,0.564,0.724
4,td,40,30,0,3,1,5,38.8914299,72.21404558,76.31995392,133.3491927,0.526670224,0.367751263,0.622369064,0.432268756,0.53968254,0.714285714,0.564,0.724
4,td,50,50,4,4,8,9,67.79244804,188.5080109,122.628129,308.4867706,0.918049654,0.959980272,1,1,0.693548387,0.830645161,0.694779116,0.81124498
4,td,60,50,4,5,8,9,54.83568096,119.9787598,122.628129,308.4867706,0.742588288,0.610993888,1,1,0.696,0.792,0.694779116,0.81124498
4,td,70,70,4,4,6,8,73.84398842,182.1356506,121.5786257,288.3450775,1,0.927528919,0.991441578,0.934708081,0.746031746,0.817460317,0.708,0.812
4,td,80,70,2,4,6,8,47.73463726,106.2094269,121.5786257,288.3450775,0.646425502,0.540873324,0.991441578,0.934708081,0.669354839,0.806451613,0.708,0.812
4,td,90,90,5,5,7,9,72.23288918,196.3665466,118.9655132,296.7357788,0.978182391,1,0.970132336,0.961907631,0.688,0.824,0.684,0.812
4,td,100,90,2,4,7,9,46.73262405,100.3692322,118.9655132,296.7357788,0.632856175,0.511132033,0.970132336,0.961907631,0.68,0.8,0.684,0.812
5,sd,0,0,0,0,0,0,47.30940819,45.10476685,47.30940819,45.10476685,0.627686878,0.476695049,0.406744318,0.348790514,0.003984064,0.003984064,0.003984064,0.003984064
5,sd,10,10,0,1,1,1,31.0813179,22.97981262,66.74533463,49.48753357,0.412377498,0.242864861,0.573845387,0.382681997,0.544715447,0.536585366,0.568548387,0.568548387
5,sd,20,10,1,0,1,1,35.66401672,26.50772095,66.74533463,49.48753357,0.473179356,0.280149976,0.573845387,0.382681997,0.592,0.6,0.568548387,0.568548387
5,sd,30,30,1,2,4,5,51.09673119,36.70243835,94.79293633,96.6578064,0.67793593,0.387894049,0.814985639,0.747444855,0.580645161,0.661290323,0.618473896,0.646586345
5,sd,40,30,3,3,4,5,43.69620514,59.95536804,94.79293633,96.6578064,0.579747996,0.63364538,0.814985639,0.747444855,0.656,0.632,0.618473896,0.646586345
5,sd,50,50,2,1,7,11,54.5229454,34.69789124,116.3124008,129.3176422,0.723393901,0.366708757,1,1,0.637096774,0.620967742,0.602409639,0.658634538
5,sd,60,50,5,10,7,11,61.78945541,94.61975098,116.3124008,129.3176422,0.819803752,1,1,1,0.568,0.696,0.602409639,0.658634538
5,sd,70,70,5,3,7,10,75.37103271,42.71073914,115.1458187,110.8666534,1,0.451393485,0.989970269,0.857320405,0.632,0.624,0.624,0.628
5,sd,80,70,2,7,7,10,39.774786,68.15591431,115.1458187,110.8666534,0.527719796,0.72031382,0.989970269,0.857320405,0.616,0.632,0.624,0.628
5,sd,90,90,3,2,4,7,63.00130272,38.11151123,105.824667,94.71058655,0.835882174,0.402786002,0.909831336,0.732387205,0.648,0.648,0.656,0.66
5,sd,100,90,1,5,4,7,42.82336426,56.59907532,105.824667,94.71058655,0.568167407,0.598174004,0.909831336,0.732387205,0.664,0.672,0.656,0.66
5,td,0,0,0,2,0,2,57.19604492,54.8351593,57.19604492,54.8351593,0.809561351,0.615196374,0.417877065,0.380125277,0.007936508,0.007936508,0.007936508,0.007936508
5,td,10,10,0,0,0,0,25.92565346,19.4932251,47.44347572,39.49765015,0.366955566,0.218694749,0.346624324,0.273803439,0.472,0.528,0.489959839,0.502008032
5,td,20,10,0,0,0,0,21.51782227,20.00442505,47.44347572,39.49765015,0.304566466,0.224429908,0.346624324,0.273803439,0.508064516,0.475806452,0.489959839,0.502008032
5,td,30,30,1,1,3,4,47.25823212,31.3918457,86.64969635,77.73794556,0.668900066,0.35218553,0.633066864,0.538890713,0.587301587,0.531746032,0.564,0.56
5,td,40,30,2,3,3,4,39.39146423,46.34609985,86.64969635,77.73794556,0.55755266,0.519957504,0.633066864,0.538890713,0.540322581,0.588709677,0.564,0.56
5,td,50,50,3,4,10,16,61.69703579,55.12109375,126.7245312,144.2554932,0.873269047,0.618404276,0.925855541,1,0.68,0.672,0.676,0.692
5,td,60,50,7,12,10,16,65.02749538,89.13439941,126.7245312,144.2554932,0.920408869,1,0.925855541,1,0.672,0.712,0.676,0.692
5,td,70,70,4,5,8,19,69.13359833,48.64862061,136.8728981,130.3893585,0.978527262,0.545789515,1,0.903877944,0.68,0.632,0.689243028,0.653386454
5,td,80,70,4,14,8,19,67.73929977,81.74073792,136.8728981,130.3893585,0.958792152,0.917050414,1,0.903877944,0.698412698,0.674603175,0.689243028,0.653386454
5,td,90,90,6,5,12,17,70.65066147,55.96862793,134.9354916,139.3041534,1,0.627912773,0.985845214,0.965676595,0.701612903,0.693548387,0.698795181,0.694779116
5,td,100,90,6,12,12,17,64.28483009,83.33552551,134.9354916,139.3041534,0.909897073,0.934942357,0.985845214,0.965676595,0.696,0.696,0.698795181,0.694779116
5,wd,0,0,0,0,0,0,53.02532387,50.52966309,53.02532387,50.52966309,0.690052393,0.535167825,0.36363855,0.328415043,0.004,0.004,0.004,0.004
5,wd,10,10,4,4,10,19,61.71348763,60.43948364,126.7486124,152.5148621,0.803117015,0.640124335,0.869220182,0.991262793,0.653225806,0.685483871,0.670682731,0.742971888
5,wd,20,10,6,15,10,19,65.03512478,92.07537842,126.7486124,152.5148621,0.8463436,0.975185207,0.869220182,0.991262793,0.688,0.8,0.670682731,0.742971888
5,wd,30,30,4,4,8,14,71.90719795,66.25817871,129.2685509,153.8591614,0.935774276,0.701751074,0.886501487,1,0.736,0.664,0.716,0.684
5,wd,40,30,4,10,8,14,57.36135292,87.60098267,129.2685509,153.8591614,0.746479908,0.927796159,0.886501487,1,0.696,0.704,0.716,0.684
5,wd,50,50,3,4,8,14,71.48392487,54.52470398,140.5152493,148.9430542,0.930265953,0.577479948,0.96362941,0.968048005,0.704,0.68,0.672,0.668
5,wd,60,50,5,10,8,14,69.03132439,94.41835022,140.5152493,148.9430542,0.898348697,1,0.96362941,0.968048005,0.64,0.656,0.672,0.668
5,wd,70,70,5,4,10,13,76.84246063,52.93222046,145.8187637,145.1447296,1,0.560613698,1,0.943360982,0.688,0.68,0.636,0.688
5,wd,80,70,5,9,10,13,68.9763031,92.21250916,145.8187637,145.1447296,0.89763267,0.976637581,1,0.943360982,0.584,0.696,0.636,0.688
5,wd,90,90,4,3,8,13,66.1609726,52.36218262,119.6162052,133.7537079,0.860994977,0.554576335,0.820307361,0.869325601,0.68,0.624,0.626506024,0.674698795
5,wd,100,90,4,10,8,13,53.45523262,81.39152527,119.6162052,133.7537079,0.69564707,0.862030793,0.820307361,0.869325601,0.572580645,0.725806452,0.626506024,0.674698795
5,gd,0,0,0,1,0,1,67.28448582,68.21723938,67.28448582,68.21723938,0.844116245,0.69438635,0.453358037,0.443153505,0.004,0.004,0.004,0.004
5,gd,10,10,1,3,1,6,38.17237759,40.61912537,72.44077778,92.83572388,0.478890842,0.413463906,0.488100762,0.603080347,0.571428571,0.587301587,0.56,0.616
5,gd,20,10,0,3,1,6,34.26840019,52.21659851,72.44077778,92.83572388,0.429913567,0.531515107,0.488100762,0.603080347,0.548387097,0.64516129,0.56,0.616
5,gd,30,30,3,3,4,9,59.16187286,46.97814941,115.1112757,118.6154175,0.742214158,0.478192698,0.775611515,0.770550647,0.664,0.704,0.636,0.696
5,gd,40,30,1,6,4,9,55.94940281,71.63726807,115.1112757,118.6154175,0.701912176,0.729198976,0.775611515,0.770550647,0.608,0.688,0.636,0.696
5,gd,50,50,3,3,8,9,61.30250072,48.71266174,131.976017,146.9537048,0.769069364,0.495848377,0.889244932,0.95464211,0.704,0.76,0.704,0.764
5,gd,60,50,5,6,8,9,70.67351627,98.24104309,131.976017,146.9537048,0.886633263,1,0.889244932,0.95464211,0.704,0.768,0.704,0.764
5,gd,70,70,3,4,6,8,73.82733536,60.91983032,138.7109127,142.7644501,0.926199441,0.620105695,0.934624176,0.927427832,0.72,0.76,0.752,0.796
5,gd,80,70,3,4,6,8,64.88357735,81.84461975,138.7109127,142.7644501,0.813995693,0.833100069,0.934624176,0.927427832,0.784,0.832,0.752,0.796
5,gd,90,90,6,6,10,11,79.7099762,74.66673279,148.4135723,153.9359131,1,0.760036034,1,1,0.696,0.728,0.702811245,0.751004016
5,gd,100,90,4,5,10,11,68.70359612,79.2691803,148.4135723,153.9359131,0.861919667,0.806884555,1,1,0.709677419,0.774193548,0.702811245,0.751004016
